From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Hosur,Allappuzha,Kallada Travels,347,00:08:41,SLEEPER CUM SEMI SLEEPER,7:45:00 PM,4:26:00 AM,1200
Hosur,Allappuzha,Kallada Travels,324,00:08:06,SEMI SLEEPER,6:00:00 PM,2:06:00 AM,1310
Hosur,Allappuzha,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:15:00 PM,7:24:00 AM,890
Hosur,Allappuzha,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,2:54:00 AM,890
Hosur,Allappuzha,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM,890
Hosur,Koratty,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:15:00 PM,9:24:00 AM,890
Hosur,Chalakkudi,Bharathi Travels,290,00:07:15,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",9:45:00 PM,5:00:00 AM,1510
Hosur,Chalakkudi,Srs Travels (SRS Travels),370,00:09:15,"2+2, Semi Sleeper, Non-AC, Video",6:45:00 PM,4:00:00 AM,1120
Hosur,Karunagapilly,Kallada Travels,509,00:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,3:29:00 AM,870
Hosur,Karunagapilly,Kallada Travels,356,00:08:54,SLEEPER CUM SEMI SLEEPER,7:45:00 PM,4:39:00 AM,1170
Hosur,Karunagapilly,Kallada Travels,509,00:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:15:00 PM,7:59:00 AM,870
Hosur,Karunagapilly,Kallada Travels,338,00:08:27,SEMI SLEEPER,6:00:00 PM,2:27:00 AM,1240
Hosur,Pathanamthitta,Kallada Travels,333,00:08:20,SEMI SLEEPER CUM SLEEPER,7:50:00 PM,4:10:00 AM,1260
Hosur,Pathanamthitta,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:15:00 PM,9:24:00 AM,890
Hosur,Kadayanallur,Srs Travels (SRS Travels),320,00:08:00,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,6:15:00 AM,1330
Hosur,Gobichettipalayam,Kings Travels,190,00:04:45,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,4:15:00 AM,2720
Hosur,Chengannur,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:39:00 AM,890
Hosur,Chengannur,Srs Travels (SRS Travels),460,00:11:30,"2+2, Semi Sleeper, Non-AC, Video",6:45:00 PM,6:15:00 AM,920
Hosur,Kollam,Kallada Travels,338,00:08:27,SEMI SLEEPER,6:00:00 PM,2:27:00 AM,1240
Hosur,Kollam,Kallada Travels,509,00:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:15:00 PM,7:59:00 AM,870
Hosur,Kollam,Kallada Travels,509,00:12:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,3:29:00 AM,870
Hosur,Kollam,Kallada Travels,356,00:08:54,SLEEPER CUM SEMI SLEEPER,7:45:00 PM,4:39:00 AM,1170
Hosur,Kollam,KPN Travels,450,00:11:15,2+2 VOLVO A/C(MULTI AXLE) : 44,7:15:00 PM,6:30:00 AM,930
Hosur,Tirupur,KPN Travels,230,00:05:45,2+1 NON A/C S.S : 28,11:45:00 PM,5:30:00 AM,2080
Hosur,Tirupur,Srs Travels (SRS Travels),240,00:06:00,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,5:45:00 AM,1960
Hosur,Tirupur,KPN Travels,220,00:05:30,2+2 VOLVO A/C(MULTI AXLE) : 44,4:00:00 PM,9:30:00 PM,2220
Hosur,Tirupur,KPN Travels,260,00:06:30,BERTH SLEEPER A/C : 29,11:30:00 PM,6:00:00 AM,1760
Hosur,Tirupur,Sachin Travels,240,00:06:00,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,6:00:00 AM,1960
Hosur,Tirupur,Kallada Travels,185,00:04:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:45:00 AM,2:23:00 PM,2810
Hosur,Tirupur,Kallada Travels,218,00:05:27,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,8:12:00 PM,2240
Hosur,Chavadi,Kallada Travels,463,00:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:05:00 AM,910
Hosur,Chavadi,Kallada Travels,463,00:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,9:35:00 AM,910
Hosur,Chavadi,Kallada Travels,273,00:06:50,SEMI SLEEPER,9:40:00 PM,4:30:00 AM,1640
Hosur,Chavadi,Kallada Travels,370,00:09:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,12:00:00 AM,1120
Hosur,Chavadi,Kallada Travels,417,00:10:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:15:00 PM,9:41:00 AM,990
Hosur,Chavadi,Kallada Travels,227,00:05:41,SLEEPER CUM SEMI SLEEPER,10:20:00 PM,4:01:00 AM,2120
Hosur,Chavadi,Kallada Travels,204,00:05:06,SEMI SLEEPER,9:05:00 PM,2:11:00 AM,2460
